Ticker,Nome,Indice,Valuta,Close Prec,Close Att,Var %
STMPA.PA,STMicroelectronics,PA,EUR,58.27,47.95,-17.72%
TSLA.US,Tesla Inc,US,USD,374.01,319.69,-14.52%
TMUS.US,T-Mobile US,US,USD,190.94,170.42,-10.75%
CNA.LSE,Centrica,LSE,GBX,179.80,161.40,-10.23%
MOH.US,Molina Healthcare,US,USD,221.74,200.29,-9.67%
ROL.US,Rollins Inc,US,USD,43.47,39.44,-9.27%
NESN.SW,Nestle,SW,CHF,86.17,79.29,-7.98%
DOV.US,Dover Corp,US,USD,214.53,197.80,-7.80%
GOOGL.US,Alphabet Inc Class A,US,USD,342.09,317.69,-7.13%
GL.US,Globe Life,US,USD,184.00,171.08,-7.02%
GOOG.US,Alphabet Inc Class C,US,USD,341.91,318.34,-6.89%
CMCSA.US,Comcast Corp,US,USD,23.52,21.92,-6.80%
POOL.US,Pool Corp,US,USD,196.19,183.33,-6.55%
ERF.PA,Eurofins Scientific,PA,EUR,70.58,66.12,-6.32%
LUV.US,Southwest Airlines,US,USD,47.66,44.71,-6.19%
IFX.XETRA,Infineon Technologies,XETRA,EUR,69.80,65.49,-6.17%
FRES.LSE,Fresnillo,LSE,GBX,2660.00,2497.00,-6.13%
WLN.PA,Worldline,PA,EUR,10.05,9.44,-6.11%
DECK.US,Deckers Outdoor,US,USD,102.47,96.23,-6.09%
AD.AS,Ahold Delhaize,AS,EUR,35.77,33.77,-5.59%
AKAM.US,Akamai Technologies,US,USD,124.30,117.37,-5.58%
CBK.XETRA,Commerzbank AG,XETRA,EUR,38.44,36.35,-5.44%
UNCRY.US,UniCredit (ADR),US,USD,47.54,44.98,-5.38%
